source,target,value
1Ae6iyuuvmSJBvkEwEUkJDUHWLd9UwVKdE,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,289075
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,48969
17BjUeQ5iyemBpDRB5VmtiSv9wuQ7KWHEn,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,979539
192XCKQJtSCZjy4QbudDnyD6ucBYG8wadG,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,10000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,16zSpkt8KrpeAootkSR22vPAm2dtWP6Lav,990000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1Ae6iyuuvmSJBvkEwEUkJDUHWLd9UwVKdE,10317583
1A8JiWcwvpY7tAopUkSnGuEYHmzGYfZPiq,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11163270
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1A8JiWcwvpY7tAopUkSnGuEYHmzGYfZPiq,10153270
12JzsmEuLW73H2BkYxvT1hGXmuq28oCMix,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,58969
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,9680000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1E9HFTvf5y8PTsSnF19Guz2BdGMJBPWmbR,9680000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,48969
1B2tnU9V6mG7bVNgmyUPbCA79DEF6ai3xH,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,97759000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,9680000
